Packet_count,Satellite_Status,Error_Code,Mission_Time,Pressure1,Pressure2,Altitude1,Altitude2,Altitude_Difference,Descent_rate,Temperature,Battery_Voltage,Gps_Latitude,Gps_Longitude,Gps_Altitude,Pitch,Roll,Yaw,LNLN,Iot_Data,Team_Number
629, 1, 11011, 19/9/2024; 12:5:39, 90905.31, 90932.04, 3.03, 2.43, 0.6, -0.01, 33.17, 3.92, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.55, 335592
630, 1, 11011, 19/9/2024; 12:5:40, 90901.44, 90932.48, 3.39, 2.39, 1.0, 0.36, 33.19, 3.71, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.55, 335592
631, 1, 11011, 19/9/2024; 12:5:41, 90906.82, 90931.2, 2.89, 2.51, 0.38, -0.5, 33.21, 3.83, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.55, 335592
632, 1, 11011, 19/9/2024; 12:5:42, 90910.77, 90933.02, 2.52, 2.34, 0.18, -0.37, 33.23, 3.92, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.55, 335592
633, 1, 11011, 19/9/2024; 12:5:43, 90907.95, 90932.81, 2.79, 2.36, 0.43, 0.27, 33.24, 3.78, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.56, 335592
634, 1, 11011, 19/9/2024; 12:5:44, 90894.88, 90933.23, 4.0, 2.32, 1.68, 1.21, 33.25, 3.76, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.56, 335592
635, 1, 11011, 19/9/2024; 12:5:45, 90907.1, 90932.5, 2.86, 2.39, 0.47, -1.14, 33.29, 3.92, 0.0000000, 0.0000000, 0.00, -0.19, -10.44, 352.0, 0N0N, 27.56, 335592
636, 1, 11011, 19/9/2024; 12:5:46, 90898.89, 90933.35, 3.63, 2.31, 1.32, 0.77, 33.3, 3.92, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.56, 335592
637, 1, 11011, 19/9/2024; 12:5:47, 90909.14, 90935.34, 2.67, 2.12, 0.55, -0.96, 33.34, 3.89, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.56, 335592
638, 1, 11011, 19/9/2024; 12:5:48, 90898.5, 90933.55, 3.66, 2.29, 1.37, 0.99, 33.34, 3.73, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.57, 335592
639, 1, 11011, 19/9/2024; 12:5:49, 90905.85, 90932.67, 2.98, 2.37, 0.61, -0.68, 33.37, 3.73, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.59, 335592
640, 1, 11011, 19/9/2024; 12:5:50, 90901.52, 90932.67, 3.38, 2.37, 1.01, 0.4, 33.38, 3.86, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.58, 335592
641, 1, 11011, 19/9/2024; 12:5:51, 90904.01, 90932.01, 3.15, 2.43, 0.72, -0.23, 33.41, 3.83, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.58, 335592
642, 1, 11011, 19/9/2024; 12:5:52, 90910.38, 90933.83, 2.56, 2.26, 0.3, -0.59, 33.45, 3.83, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.59, 335592
643, 1, 11011, 19/9/2024; 12:5:53, 90900.73, 90933.46, 3.45, 2.3, 1.15, 0.89, 33.45, 3.88, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.57, 335592
644, 1, 11011, 19/9/2024; 12:5:54, 90905.19, 90931.59, 3.04, 2.47, 0.57, -0.41, 33.47, 3.84, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.57, 335592
645, 1, 11011, 19/9/2024; 12:5:55, 90905.72, 90932.79, 2.99, 2.36, 0.63, -0.05, 33.48, 3.73, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.58, 335592
646, 1, 11011, 19/9/2024; 12:5:56, 90899.93, 90932.37, 3.53, 2.4, 1.13, 0.54, 33.52, 3.92, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.59, 335592
647, 1, 11011, 19/9/2024; 12:5:57, 90911.17, 90931.34, 2.49, 2.5, 0.01, -1.04, 33.53, 3.89, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.59, 335592
648, 1, 11011, 19/9/2024; 12:5:58, 90908.27, 90931.6, 2.75, 2.47, 0.28, 0.26, 33.54, 3.73, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.59, 335592
649, 1, 11011, 19/9/2024; 12:5:59, 90903.01, 90932.16, 3.24, 2.42, 0.82, 0.49, 33.56, 3.78, 0.0000000, 0.0000000, 0.00, -0.19, -2.44, 352.0, 0N0N, 27.6, 335592
650, 1, 11011, 19/9/2024; 12:6:0, 90901.63, 90931.71, 3.37, 2.46, 0.91, 0.13, 33.57, 3.86, 0.0000000, 0.0000000, 0.00, -0.25, -2.44, 352.0, 0N0N, 27.62, 335592
651, 1, 11011, 19/9/2024; 12:6:1, 90904.06, 90933.45, 3.15, 2.3, 0.85, -0.22, 33.61, 3.86, 0.0000000, 0.0000000, 0.00, -0.25, -2.44, 352.0, 0N0N, 27.63, 335592
652, 1, 11011, 19/9/2024; 12:6:2, 90902.67, 90932.2, 3.27, 2.42, 0.85, 0.12, 33.62, 3.80, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.64, 335592
653, 1, 11011, 19/9/2024; 12:6:3, 90901.75, 90931.47, 3.36, 2.48, 0.88, 0.09, 33.63, 3.81, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.63, 335592
654, 1, 11011, 19/9/2024; 12:6:4, 90902.27, 90929.83, 3.31, 2.64, 0.67, -0.05, 33.66, 3.71, 0.0000000, 0.0000000, 0.00, -0.25, -2.5, 352.0, 0N0N, 27.64, 335592
